condition,metric,mean,std,median,min,max,n
no_market,plausibility,4.92,0.2712931993250107,5.0,4.0,5.0,25
no_market,specificity,4.96,0.19595917942265426,5.0,4.0,5.0,25
no_market,coherence,5.0,0.0,5.0,5.0,5.0,25
no_market,informativeness,4.4,0.4898979485566356,4.0,4.0,5.0,25
no_market,accuracy,1.72,1.4837789592793127,1.0,1.0,5.0,25
no_market,semantic_similarity,0.2,0.4,0.0,0.0,1.0,25
direct_market,plausibility,4.84,0.36660605559646725,5.0,4.0,5.0,25
direct_market,specificity,4.92,0.2712931993250107,5.0,4.0,5.0,25
direct_market,coherence,5.0,0.0,5.0,5.0,5.0,25
direct_market,informativeness,4.28,0.44899888641287294,4.0,4.0,5.0,25
direct_market,accuracy,4.88,0.43081318457076034,5.0,3.0,5.0,25
direct_market,semantic_similarity,1.0,0.0,1.0,1.0,1.0,25
mcp,plausibility,4.88,0.32496153618543844,5.0,4.0,5.0,25
mcp,specificity,4.72,0.44899888641287294,5.0,4.0,5.0,25
mcp,coherence,5.0,0.0,5.0,5.0,5.0,25
mcp,informativeness,4.8,0.39999999999999997,5.0,4.0,5.0,25
mcp,accuracy,4.64,1.0150862032359615,5.0,1.0,5.0,25
mcp,semantic_similarity,1.0,0.0,1.0,1.0,1.0,25
superforecaster,plausibility,4.88,0.32496153618543844,5.0,4.0,5.0,25
superforecaster,specificity,4.36,0.5571355310873648,4.0,3.0,5.0,25
superforecaster,coherence,5.0,0.0,5.0,5.0,5.0,25
superforecaster,informativeness,5.0,0.0,5.0,5.0,5.0,25
superforecaster,accuracy,4.76,0.8616263691415207,5.0,1.0,5.0,25
superforecaster,semantic_similarity,1.0,0.0,1.0,1.0,1.0,25
